"Object Count","Object Color R,G,B","Object Category","Object Type"
"1","0,0,0","point","0.1113771598915427,-25.43705213525981,102.9031152763547"
"2","0,0,0","point","1.115969255899566,-25.3109893742662,102.9031152763547"
"3","0,0,0","point","2.074810508708946,-24.99386148626144,102.9031152763547"
"4","0,0,0","point","2.927126564420671,-24.45045901256906,102.9031152763547"
"5","0,0,0","point","3.641973945148582,-23.73562434014827,102.9031152763547"
"6","0,0,0","point","4.18535735638029,-22.88330828443654,102.9031152763547"
"7","0,0,0","point","4.50249790060894,-21.92446067747359,102.9031152763547"
"8","0,0,0","point","4.628554307448976,-20.91987493561913,102.9031152763547"
"9","0,0,0","point","4.50249790060894,-19.91528919376467,102.9031152763547"
"10","0,0,0","point","4.18535735638029,-18.95644158680174,102.9031152763547"
"11","0,0,0","point","3.641980299302162,-18.10412553109001,102.9031152763547"
"12","0,0,0","point","2.927126564420671,-17.3892717962085,102.9031152763547"
"13","0,0,0","point","2.074810508708946,-16.84589473913039,102.9031152763547"
"14","0,0,0","point","1.115969255899566,-16.52875419490174,102.9031152763547"
"15","0,0,0","point","0.1113835140451194,-16.40269778806171,102.9031152763547"
"16","0,0,0","point","-0.8932149361164932,-16.52875419490174,102.9031152763547"
"17","0,0,0","point","-1.85206254307942,-16.84589473913039,102.9031152763547"
"18","0,0,0","point","-2.704372244637588,-17.3892717962085,102.9031152763547"
"19","0,0,0","point","-3.419219625365542,-18.10413188524358,102.9031152763547"
"20","0,0,0","point","-3.962603036597192,-18.95644158680174,102.9031152763547"
"21","0,0,0","point","-4.279743580825841,-19.91528919376467,102.9031152763547"
"22","0,0,0","point","-4.405800039749099,-20.91987493561913,102.9031152763547"
"23","0,0,0","point","-4.279743580825841,-21.92446067747359,102.9031152763547"
"24","0,0,0","point","-3.962603036597192,-22.88330828443654,102.9031152763547"
"25","0,0,0","point","-3.419213271211968,-23.73562434014827,102.9031144951063"
"26","0,0,0","point","-2.704365890484038,-24.45047172087622,102.9031152763547"
"27","0,0,0","point","-1.852056188925847,-24.99384877795431,102.9031160576031"
"28","0,0,0","point","-0.8932212902700538,-25.3109893742662,102.9031152763547"
"29","0,0,0","point","-0.5444315404432043,-20.94535707059552,102.9031144951063"
"30","0,0,0","point","1.742856245014213,-19.2066725293607,102.9031152763547"
"31","0,0,0","point","-0.9800944966242415,-18.80489669083175,102.9031152763547"
"32","0,0,0","point","-2.240315284482072,-21.05327466065651,102.9031152763547"
"33","0,0,0","point","0.8708627298615372,-24.29855807566629,102.9031152763547"
"34","0,0,0","point","2.702638433384148,-21.22623263749,102.9031152763547"
"35","0,0,0","point","2.298859942733035,-18.34620570919926,102.9031152763547"
"36","0,0,0","point","0.2697503230371545,-18.35485235804352,102.9031152763547"
"37","0,0,0","point","-1.504417165893795,-18.45689532479655,102.9031152763547"
"38","0,0,0","point","-2.426980733061814,-18.96723078331312,102.9031152763547"
"39","0,0,0","point","-2.872231273647666,-21.44833660677408,102.9031152763547"
"40","0,0,0","point","1.685171780579726,-23.95487998196999,102.9031152763547"
"41","0,0,0","point","0.2955884989463158,-22.8599496867498,102.9031152763547"
"42","0,0,0","point","-0.02131043119700493,-22.49342158806844,102.9031152763547"
"43","0,0,0","point","-0.5628183254611354,-23.72475248755725,102.9031160576031"
"44","0,0,0","point","3.275878189326097,-22.52215892466856,102.9031152763547"
"45","0,0,0","point","1.301681060611601,-21.52222713155474,102.9031152763547"
"46","0,0,0","point","0.7280789095832851,-22.32289225206238,102.9031136617747"
"47","0,0,0","point","-1.980560351137237,-22.51853497380488,102.9031152763547"
"48","0,0,0","point","3.820889201369649,-20.72591070000029,102.9031144951063"
"49","0,0,0","point","3.130309635204416,-20.32499954718906,102.9031152763547"
"50","0,0,0","point","2.984639362542346,-18.94955608016077,102.9031152763547"
"51","0,0,0","point","2.439800016811628,-19.77817655971367,102.9031144951063"
"52","0,0,0","point","1.905514607660532,-20.6330230268764,102.9031152763547"
"53","0,0,0","point","1.54711180473139,-17.84360768265102,102.9031152763547"
"54","0,0,0","point","1.066556336915838,-18.70235783968416,102.9031152763547"
"55","0,0,0","point","-0.6168470682641214,-17.73744488063976,102.9031152763547"
"56","0,0,0","point","0.7092280109386166,-19.40387285205935,102.9031152763547"
"57","0,0,0","point","1.180927038675675,-20.00456567641524,102.9031144951063"
"58","0,0,0","point","0.3657342918622994,-20.77186498027961,102.9031160576031"
"59","0,0,0","point","-0.1162835166891067,-19.50390040629988,102.9031144951063"
"60","0,0,0","point","-2.265040806434676,-18.14529877955731,102.9031152763547"
"61","0,0,0","point","-1.677451496736586,-19.53113727724276,102.9031144951063"
"62","0,0,0","point","-2.012018827961917,-20.38817082323082,102.9031152763547"
"63","0,0,0","point","-1.465475579493278,-20.74405592301612,102.9031160576031"
"64","0,0,0","point","-1.137533078362857,-21.27010155748432,102.9031152763547"
"65","0,0,0","point","-3.170171232452436,-19.2912314696517,102.9031152763547"
"66","0,0,0","point","-3.099675804840512,-22.34890844843796,102.9031152763547"
"67","0,0,0","point","-0.3685298196773541,-22.73696410691354,102.9031144951063"
"68","0,0,0","point","-1.422623896985547,-24.14371980106792,102.9031152763547"
"69","0,0,0","point","-1.066827807433436,-23.49673577004383,102.9031152763547"
"70","0,0,0","point","-2.076277289262773,-23.68581720322707,102.9031152763547"
"71","0,0,0","point","-0.5764304328206276,-22.26433679983982,102.9031160576031"
"72","0,0,0","point","0.004794723328549466,-21.88007040438721,102.9031152763547"
"73","0,0,0","point","-1.394795725178112,-22.13461191097792,102.9031160576031"
"74","0,0,0","point","-1.545501404127924,-23.08251136342379,102.9031152763547"
"75","0,0,0","point","-1.667882974792461,-21.58092247932228,102.9031152763547"
"76","0,0,0","point","-2.372131887782572,-21.78999288172108,102.9031152763547"
"77","0,0,0","point","-3.51744150624455,-20.88863265626552,102.9031152763547"
"78","0,0,0","point","-0.8952176403218548,-21.804208946169,102.9031152763547"
"79","0,0,0","point","0.06886881000947298,-24.46045347113522,102.9031152763547"
"80","0,0,0","point","2.489683403575651,-23.50367851615016,102.9031152763547"
"81","0,0,0","point","3.135840925886672,-23.2538290832215,102.9031152763547"
"82","0,0,0","point","-0.7024486626560158,-24.40997242935308,102.9031152763547"
"83","0,0,0","point","3.575477519710599,-21.59969072188729,102.9031152763547"
"84","0,0,0","point","3.961950056449279,-20.07132272631606,102.9031152763547"
"85","0,0,0","point","3.565559363070506,-19.57557838355771,102.9031152763547"
"86","0,0,0","point","0.7535610445596514,-17.48321488382363,102.9031152763547"
"87","0,0,0","point","0.0826970627567718,-17.20778795153182,102.9031152763547"
"88","0,0,0","point","-1.559583979267639,-17.79637548833905,102.9031152763547"
"89","0,0,0","point","-2.820351536831852,-18.62697320339981,102.9031152763547"
"90","0,0,0","point","-3.410986256919431,-20.07862151335517,102.9031152763547"
"91","0,0,0","point","-3.442285775738419,-21.65257503996582,102.9031152763547"
"92","0,0,0","point","-2.643934869210719,-23.07222445754376,102.9031152763547"
"93","0,0,0","point","1.31049932368545,-23.02654986418795,102.9031152763547"
"94","0,0,0","point","0.6180568967765812,-23.4709993647582,102.9031152763547"
"95","0,0,0","point","-0.003845519278902643,-23.70112685917092,102.9031152763547"
"96","0,0,0","point","2.216074800869254,-22.36016181065929,102.9031152763547"
"97","0,0,0","point","-2.487793263965473,-19.50223462848337,102.9031152763547"
"98","0,0,0","point","-2.682501352217725,-20.21798481985043,102.9031152763547"
"99","0,0,0","point","-2.828127145804826,-20.90206033692181,102.9031152763547"
"100","0,0,0","point","-1.968461417742157,-18.77513576259146,102.9031136617747"
"101","0,0,0","point","-0.1393433129083963,-23.14978976641665,102.9031152763547"
"102","0,0,0","point","-0.4815209409474388,-23.30471705124823,102.9031152763547"
"103","0,0,0","point","-1.064780572069852,-22.63026724350307,102.9031152763547"
"104","0,0,0","point","-0.7454147720112196,-23.04217738405993,102.9031160576031"
"105","0,0,0","point","-0.9509057547045661,-20.18110947919099,102.9031160576031"
"106","0,0,0","point","-1.7912118872544,-21.12609706263878,102.9031152763547"
"107","0,0,0","point","-0.4782720934772655,-21.54322062994977,102.9031152763547"
